,corpus,arch,seed,validation_loss,validation_ppl,test_loss,test_ppl,blimp_benchmark,blimp_acc,filter_target,z_validation_ppl,z_validation_loss,z_test_ppl,z_test_loss,full_same_seed_acc,blimp_delta_same_seed,full_all_seed_avg_acc,blimp_delta_all_seed_avg,field,linguistics_term,corpus_tokens
71,superlative-quantifier,transformer,1,3.85900545,47.41816823,3.86212659,47.56639806,adjunct_island,0.67,False,-0.8420066639221114,-0.8328440941476165,-0.8459670604588143,-0.8370720943022537,0.654,0.016,0.7054,-0.0354,syntax,island_effects,64929456
72,superlative-quantifier,transformer,2,3.86330986,47.62271533,3.8667326,47.78599464,adjunct_island,0.73,False,-0.7798029418521667,-0.7671883396136091,-0.7791029867691599,-0.7665063336666074,0.668,0.062,0.7054,0.0246,syntax,island_effects,64929456
73,superlative-quantifier,transformer,3,3.85973167,47.4526169,3.8635354,47.63345756,adjunct_island,0.753,False,-0.8315306635566238,-0.8217669611473513,-0.825548384769096,-0.815488608977406,0.814,-0.061,0.7054,0.0476,syntax,island_effects,64929456
74,superlative-quantifier,transformer,4,3.86361313,47.63715999,3.86664867,47.78198445,adjunct_island,0.802,False,-0.7754102537327312,-0.7625625208190429,-0.7803240332885055,-0.7677921720148007,0.665,0.137,0.7054,0.0966,syntax,island_effects,64929456
75,superlative-quantifier,lstm,0,3.98948503,54.02705964,3.99196792,54.16136961,adjunct_island,0.518,False,1.1677878746369112,1.1573787880081947,1.162109129527262,1.152144649342125,0.65,-0.132,0.661,-0.143,syntax,island_effects,64929456
76,superlative-quantifier,lstm,1,3.98526192,53.79937861,3.98793077,53.94315326,adjunct_island,0.707,False,1.0985490171282066,1.0929631134952882,1.095665316482964,1.0902940323112957,0.599,0.108,0.661,0.046,syntax,island_effects,64929456
77,superlative-quantifier,lstm,2,3.98558187,53.81659489,3.98885036,53.99278115,adjunct_island,0.664,False,1.1037845677480802,1.0978433546115243,1.110776311809129,1.104382488007854,0.662,0.002,0.661,0.003,syntax,island_effects,64929456
78,superlative-quantifier,lstm,3,3.98929596,54.01684592,3.99188662,54.15696643,adjunct_island,0.604,False,1.1646818350001724,1.1544948774351473,1.1607684230736868,1.150899103557446,0.647,-0.043,0.661,-0.057,syntax,island_effects,64929456
79,superlative-quantifier,lstm,4,3.98975778,54.04179757,3.99267673,54.1997738,adjunct_island,0.622,False,1.172269747523921,1.161539081067908,1.1738026658753764,1.1630038782183416,0.747,-0.125,0.661,-0.039,syntax,island_effects,64929456
80,existential-there-quantifier,transformer,0,3.84332609,46.68048008,3.84654045,46.83076932,adjunct_island,0.705,False,-1.0663410527102763,-1.0720035170209783,-1.0699556775838492,-1.0758574691654441,0.726,-0.021,0.7054,-0.0004,syntax,island_effects,66325730
81,existential-there-quantifier,transformer,1,3.84503531,46.76033564,3.84809446,46.90360149,adjunct_island,0.643,False,-1.0420566064385877,-1.045932550555281,-1.0477793049743247,-1.0520494666458244,0.654,-0.011,0.7054,-0.0624,syntax,island_effects,66325730
82,existential-there-quantifier,transformer,2,3.84331036,46.67974554,3.84650183,46.82896057,adjunct_island,0.693,False,-1.0665644297320451,-1.0722434488627037,-1.0705064165493028,-1.0764491417140847,0.668,0.025,0.7054,-0.0124,syntax,island_effects,66325730
83,existential-there-quantifier,transformer,3,3.84469867,46.74459656,3.84805322,46.90166693,adjunct_island,0.75,False,-1.0468429336852552,-1.051067366524561,-1.0483683513173834,-1.0526812785543096,0.814,-0.064,0.7054,0.0446,syntax,island_effects,66325730
84,existential-there-quantifier,transformer,4,3.84311175,46.67047573,3.84622836,46.81615619,adjunct_island,0.654,False,-1.0693834219586822,-1.0752728743607392,-1.0744051703817634,-1.0806388023012334,0.665,-0.011,0.7054,-0.0514,syntax,island_effects,66325730
85,existential-there-quantifier,lstm,0,3.97315168,53.15178475,3.97605157,53.30614253,adjunct_island,0.561,False,0.9016127199054992,0.9082439662049692,0.9017044980047328,0.9083003363047893,0.65,-0.089,0.661,-0.1,syntax,island_effects,66325730
86,existential-there-quantifier,lstm,1,3.97074175,53.02384663,3.97311258,53.14970653,adjunct_island,0.766,False,0.8627061440673133,0.8714849742585411,0.8540719336373156,0.8632739327905651,0.599,0.167,0.661,0.105,syntax,island_effects,66325730
87,existential-there-quantifier,lstm,2,3.97287989,53.13734021,3.97578287,53.29182121,adjunct_island,0.622,False,0.8972200682786212,0.904098316156581,0.8973438572524354,0.9041837538651529,0.662,-0.04,0.661,-0.039,syntax,island_effects,66325730
88,existential-there-quantifier,lstm,3,3.9718616,53.08325876,3.97458696,53.22812721,adjunct_island,0.534,False,0.8807736484323389,0.8885661994937987,0.8779499290337482,0.8858619745373199,0.647,-0.113,0.661,-0.127,syntax,island_effects,66325730
89,existential-there-quantifier,lstm,4,3.96980596,52.9742505,3.9729557,53.14136908,adjunct_island,0.602,False,0.8476237308418745,0.8572112413810056,0.8515332972378589,0.8608704737167633,0.747,-0.145,0.661,-0.059,syntax,island_effects,66325730
90,binding-c-command,transformer,0,3.84278798,46.65536757,3.84683895,46.8447504,adjunct_island,0.741,False,-1.0739778835063065,-1.0802113824595145,-1.0656986351318176,-1.071284339808422,0.726,0.015,0.7054,0.0356,syntax,island_effects,66439549
91,binding-c-command,transformer,1,3.84187794,46.61292846,3.84533119,46.77417302,adjunct_island,0.647,False,-1.0868838137460217,-1.0940923470646875,-1.087188455861917,-1.0943837753841141,0.654,-0.007,0.7054,-0.0584,syntax,island_effects,66439549
92,binding-c-command,transformer,2,3.84238458,46.63655039,3.84571671,46.79220901,adjunct_island,0.747,False,-1.0797002752432734,-1.0863644978409557,-1.0816967502787702,-1.0884774677468632,0.668,0.079,0.7054,0.0416,syntax,island_effects,66439549
93,binding-c-command,transformer,3,3.84252954,46.64331124,3.8457818,46.79525473,adjunct_island,0.78,False,-1.0776442693925086,-1.0841534031317492,-1.0807693713254265,-1.0874802651008026,0.814,-0.034,0.7054,0.0746,syntax,island_effects,66439549
94,binding-c-command,transformer,4,3.84286523,46.65897172,3.84642005,46.82513117,adjunct_island,0.738,False,-1.0728818447704946,-1.0790330776424206,-1.0716724150534107,-1.0777020412746103,0.665,0.073,0.7054,0.0326,syntax,island_effects,66439549
95,binding-c-command,lstm,0,3.96994185,52.98145012,3.97339368,53.16464877,adjunct_island,0.612,False,0.8498131686852333,0.8592839901395196,0.8586216358068497,0.8675804877730079,0.65,-0.038,0.661,-0.049,syntax,island_effects,66439549
96,binding-c-command,lstm,1,3.97319436,53.15405316,3.97594976,53.30071599,adjunct_island,0.653,False,0.9023025539103844,0.9088949700832031,0.900052192807448,0.90674056980617,0.599,0.054,0.661,-0.008,syntax,island_effects,66439549
97,binding-c-command,lstm,2,3.97028255,52.99950398,3.97320747,53.15475017,adjunct_island,0.619,False,0.8553034312689112,0.8644807338441667,0.8556076511636262,0.8647276823540112,0.662,-0.043,0.661,-0.042,syntax,island_effects,66439549
98,binding-c-command,lstm,3,3.97456884,53.22716274,3.97757053,53.38717421,adjunct_island,0.656,False,0.9245355163672974,0.9298601015395233,0.9263775062215099,0.9315713599836577,0.647,0.009,0.661,-0.005,syntax,island_effects,66439549
99,binding-c-command,lstm,4,3.96868968,52.91514962,3.971457,53.06178581,adjunct_island,0.605,False,0.8296508790458388,0.8401844698440925,0.8273013095186367,0.8379098406602492,0.747,-0.142,0.661,-0.056,syntax,island_effects,66439549
100,binding-case,transformer,0,3.84406281,46.71488288,3.84705782,46.85500435,adjunct_island,0.816,False,-1.0558790016245967,-1.0607662260844068,-1.0625764514055958,-1.0679311712242647,0.726,0.09,0.7054,0.1106,syntax,island_effects,66135617
101,binding-case,transformer,1,3.84451365,46.73594901,3.84800124,46.89922926,adjunct_island,0.698,False,-1.0494726937590273,-1.053889501893608,-1.0491105875876887,-1.0534776311974563,0.654,0.044,0.7054,-0.0074,syntax,island_effects,66135617
102,binding-case,transformer,2,3.84574723,46.79363701,3.84868026,46.93108541,adjunct_island,0.603,False,-1.0319295053257966,-1.0350735374111204,-1.0394108374318853,-1.0430747960349562,0.668,-0.065,0.7054,-0.1024,syntax,island_effects,66135617
103,binding-case,transformer,3,3.84670067,46.83827302,3.85039902,47.01181802,adjunct_island,0.675,False,-1.0183554876039536,-1.0205305866692298,-1.0148288918287345,-1.0167427631583241,0.814,-0.139,0.7054,-0.0304,syntax,island_effects,66135617
104,binding-case,transformer,4,3.84355736,46.69127693,3.84701228,46.85287072,adjunct_island,0.731,False,-1.0630576805352085,-1.0684759240753527,-1.0632261117670943,-1.0686288607080783,0.665,0.066,0.7054,0.0256,syntax,island_effects,66135617
105,binding-case,lstm,0,3.97419047,53.20702697,3.97693992,53.35351795,adjunct_island,0.562,False,0.9184121352939696,0.9240887721719607,0.9161296478588787,0.9219101837564153,0.65,-0.088,0.661,-0.099,syntax,island_effects,66135617
106,binding-case,lstm,1,3.97548389,53.27589057,3.97813296,53.41720917,adjunct_island,0.606,False,0.9393538755344124,0.9438174843600148,0.9355227296066189,0.940187993632804,0.599,0.007,0.661,-0.055,syntax,island_effects,66135617
107,binding-case,lstm,2,3.97323513,53.15622027,3.97596645,53.30160555,adjunct_island,0.644,False,0.902961582115307,0.9095168404701675,0.9003230513307965,0.9069962667206353,0.662,-0.018,0.661,-0.017,syntax,island_effects,66135617
108,binding-case,lstm,3,3.97484875,53.24206329,3.97753882,53.38548135,adjunct_island,0.703,False,0.9290668427507529,0.9341296070586593,0.9258620541330204,0.9310855511665346,0.647,0.056,0.661,0.042,syntax,island_effects,66135617
109,binding-case,lstm,4,3.97210836,53.09635937,3.97563338,53.2838553,adjunct_island,0.629,False,0.884757604711293,0.892330063528315,0.894918349563539,0.9018935122987151,0.747,-0.118,0.661,-0.032,syntax,island_effects,66135617
110,binding-domain,transformer,0,3.84327769,46.67822084,3.8468883,46.84706237,adjunct_island,0.79,False,-1.0670280980756193,-1.072741768841661,-1.0649946727456623,-1.070528279728796,0.726,0.064,0.7054,0.0846,syntax,island_effects,66336878
111,binding-domain,transformer,1,3.84313393,46.67151057,3.84696674,46.85073718,adjunct_island,0.651,False,-1.069068722313725,-1.0749345597867144,-1.063875744724855,-1.0693265501918918,0.654,-0.003,0.7054,-0.0544,syntax,island_effects,66336878
